Date,HomeTeam,AwayTeam,FTHG,FTAG
03/03/2026,Orlando City II,Huntsville City,1,3
07/03/2026,Crown Legacy,Huntsville City,7,2
08/03/2026,Atlanta United II,Carolina Core,2,1
08/03/2026,Chattanooga,Connecticut FC,4,2
08/03/2026,Houston Dynamo FC II,Tacoma Defiance,4,0
08/03/2026,North Texas,Colorado Rapids II,3,1
08/03/2026,Orlando City II,Chicago Fire II,2,1
08/03/2026,Philadelphia Union II,FC Cincinnati II,1,0
08/03/2026,St. Louis City II,Minnesota United II,3,0
09/03/2026,New York RB II,Inter Miami II,3,0
09/03/2026,Sporting KC II,Real Monarchs,0,5
09/03/2026,The Town,Los Angeles FC II,4,1
14/03/2026,Carolina Core,Orlando City II,2,3
15/03/2026,Atlanta United II,Huntsville City,4,1
15/03/2026,Chicago Fire II,Chattanooga,2,1
15/03/2026,Columbus Crew II,Toronto II,3,2
15/03/2026,Crown Legacy,Inter Miami II,3,0
15/03/2026,Houston Dynamo FC II,Portland Timbers II,5,0
15/03/2026,New England II,FC Cincinnati II,2,1
15/03/2026,Philadelphia Union II,Connecticut FC,1,2
16/03/2026,Austin II,North Texas,1,0
16/03/2026,Vancouver Whitecaps II,Minnesota United II,2,1
16/03/2026,Ventura County,St. Louis City II,2,3
19/03/2026,New York City II,Toronto II,0,5
21/03/2026,Columbus Crew II,FC Cincinnati II,2,0
21/03/2026,Houston Dynamo FC II,North Texas,2,0
22/03/2026,Colorado Rapids II,The Town,1,4
22/03/2026,Crown Legacy,Atlanta United II,3,0
22/03/2026,New England II,Connecticut FC,2,0
22/03/2026,Real Monarchs,Vancouver Whitecaps II,3,2
23/03/2026,Sporting KC II,Minnesota United II,0,1
23/03/2026,Tacoma Defiance,Austin II,0,1
28/03/2026,Chattanooga,Columbus Crew II,2,0
28/03/2026,Sporting KC II,St. Louis City II,0,2
28/03/2026,Vancouver Whitecaps II,Los Angeles FC II,2,3
30/03/2026,Tacoma Defiance,Ventura County,0,1
03/04/2026,Crown Legacy,Atlanta United II,2,0
05/04/2026,Sporting KC II,North Texas,1,4
10/04/2026,Inter Miami II,Atlanta United II,0,2
11/04/2026,Chattanooga,Orlando City II,3,1
11/04/2026,Connecticut FC,Columbus Crew II,1,3
12/04/2026,New England II,New York RB II,1,2
12/04/2026,Philadelphia Union II,Carolina Core,4,1
12/04/2026,Vancouver Whitecaps II,Tacoma Defiance,2,1
13/04/2026,FC Cincinnati II,New York City II,1,0
13/04/2026,The Town,Minnesota United II,1,0
13/04/2026,Ventura County,Real Monarchs,2,0
16/04/2026,Los Angeles FC II,Portland Timbers II,0,1
17/04/2026,Toronto II,Philadelphia Union II,1,0
18/04/2026,Chicago Fire II,Atlanta United II,0,3
18/04/2026,Columbus Crew II,New England II,2,1
18/04/2026,Crown Legacy,Chattanooga,1,0
18/04/2026,Inter Miami II,Huntsville City,2,4
18/04/2026,Tacoma Defiance,St. Louis City II,1,2
19/04/2026,New York City II,Connecticut FC,2,1
19/04/2026,New York RB II,FC Cincinnati II,3,1
19/04/2026,Real Monarchs,Houston Dynamo FC II,0,1
20/04/2026,Colorado Rapids II,Minnesota United II,1,2
20/04/2026,Los Angeles FC II,The Town,2,1
20/04/2026,Sporting KC II,Vancouver Whitecaps II,3,2
24/04/2026,Toronto II,New York City II,2,1
26/04/2026,Connecticut FC,Philadelphia Union II,1,2
26/04/2026,Minnesota United II,North Texas,1,0
26/04/2026,New York RB II,Columbus Crew II,4,1
26/04/2026,Sporting KC II,Houston Dynamo FC II,1,2
26/04/2026,St. Louis City II,Ventura County,2,1
27/04/2026,Tacoma Defiance,Los Angeles FC II,4,1
02/05/2026,Carolina Core,Atlanta United II,1,2
02/05/2026,Chattanooga,Huntsville City,0,2
02/05/2026,Ventura County,The Town,1,3
03/05/2026,Columbus Crew II,Inter Miami II,3,1
03/05/2026,FC Cincinnati II,Toronto II,5,0
03/05/2026,North Texas,Austin II,0,2
03/05/2026,Philadelphia Union II,New York RB II,1,2
03/05/2026,Real Monarchs,Portland Timbers II,0,3
04/05/2026,Colorado Rapids II,Houston Dynamo FC II,1,3
04/05/2026,Los Angeles FC II,Vancouver Whitecaps II,2,1
05/05/2026,New York City II,Chicago Fire II,2,1
07/05/2026,Sporting KC II,Ventura County,0,2
08/05/2026,Huntsville City,Carolina Core,3,0
08/05/2026,Inter Miami II,Chattanooga,1,2
08/05/2026,Toronto II,New York RB II,1,2
09/05/2026,Chicago Fire II,Crown Legacy,3,2
09/05/2026,St. Louis City II,Houston Dynamo FC II,1,4
09/05/2026,The Town,Vancouver Whitecaps II,6,1
10/05/2026,Atlanta United II,Orlando City II,0,2
10/05/2026,FC Cincinnati II,Columbus Crew II,2,1
10/05/2026,Los Angeles FC II,Real Monarchs,3,1
10/05/2026,Minnesota United II,North Texas,0,2
10/05/2026,New England II,New York City II,3,2
11/05/2026,Austin II,Tacoma Defiance,3,0
11/05/2026,Colorado Rapids II,Sporting KC II,1,3
13/05/2026,Philadelphia Union II,New England II,0,1
14/05/2026,Colorado Rapids II,Austin II,0,2
14/05/2026,Huntsville City,FC Cincinnati II,4,0
14/05/2026,Portland Timbers II,Minnesota United II,2,1
16/05/2026,Carolina Core,Chicago Fire II,2,1
16/05/2026,Connecticut FC,Toronto II,0,2
17/05/2026,FC Cincinnati II,Chattanooga,1,3
17/05/2026,Huntsville City,Atlanta United II,2,6
17/05/2026,Los Angeles FC II,Ventura County,3,2
17/05/2026,New England II,Orlando City II,1,0
17/05/2026,New York RB II,New York City II,2,3
17/05/2026,North Texas,Sporting KC II,5,1
17/05/2026,Vancouver Whitecaps II,Tacoma Defiance,0,2
18/05/2026,Austin II,St. Louis City II,4,1
18/05/2026,Inter Miami II,Crown Legacy,1,5
18/05/2026,The Town,Portland Timbers II,0,1
21/05/2026,Real Monarchs,Colorado Rapids II,2,0
